AX,AY,AZ,GX,GY,GZ
0.001544,-0.035142,-0.053645,-0.10376,0.236511,-1.051331
0.001939,-0.014878,-0.005848,-0.100708,0.256348,-1.062012
0.00319,-0.020005,0.070996,-0.102234,0.248718,-1.05896
-0.041371,0.013931,0.097327,-0.097656,0.238037,-1.052856
0.034787,0.053237,0.038197,-0.100708,0.216675,-1.083374
-0.022321,-0.002427,0.003526,-0.091553,0.221252,-1.05896
-0.012362,-0.010239,-0.031696,-0.076294,0.202942,-1.081848
-0.010699,-0.006333,-0.082712,-0.068665,0.227356,-1.063538
0.005595,-0.016831,-0.049243,-0.07019,0.218201,-1.05896
-0.028306,-0.078354,-0.053153,-0.07782,0.222778,-1.095581
-0.022887,-0.042466,-0.005515,-0.073242,0.205994,-1.098633
0.003242,-0.018784,-0.045564,-0.061035,0.204468,-1.092529
0.021333,-0.050034,-0.048127,-0.054932,0.241089,-1.062012
-0.017233,-0.075181,-0.044135,-0.074768,0.247192,-1.042175
0.01083,-0.025376,-0.012864,-0.10376,0.230408,-1.040649
0.029289,-0.004868,0.007091,-0.099182,0.242615,-1.052856
0.025367,-0.024888,0.038139,-0.097656,0.22583,-1.055908
-0.021938,-0.030015,0.037972,-0.099182,0.236511,-1.066589
0.025098,-0.013413,-0.028491,-0.090027,0.234985,-1.052856
-0.003539,-0.019028,-0.008829,-0.094604,0.216675,-1.068115
-0.020898,0.008804,0.078278,-0.094604,0.227356,-1.074219
0.003846,-0.032456,-0.053599,-0.094604,0.20752,-1.063538
-0.013078,-0.034897,0.026143,-0.071716,0.210571,-1.081848
0.011843,0.006362,0.05787,-0.079346,0.215149,-1.060486
-0.028173,0.029067,0.111329,-0.086975,0.219727,-1.075745
-0.016906,0.026138,0.07163,-0.074768,0.22583,-1.074219
-0.019962,0.001724,0.052708,-0.062561,0.219727,-1.086426
-0.001555,-0.019517,-0.015982,-0.068665,0.230408,-1.055908
-0.013344,-0.025132,-0.04191,-0.071716,0.241089,-1.055908
0.020237,-0.034897,-0.026156,-0.079346,0.253296,-1.043701
-0.008405,-0.030747,-0.09744,-0.10376,0.239563,-1.057434
0.012452,-0.010972,0.010326,-0.083923,0.244141,-1.049805
0.000361,-0.003159,0.081496,-0.094604,0.238037,-1.065063
0.026658,-0.000962,0.004115,-0.105286,0.244141,-1.049805
0.023965,-0.030015,-0.008488,-0.105286,0.242615,-1.066589
0.040279,-0.038071,-0.0026,-0.102234,0.215149,-1.066589
0.064466,-0.002915,-0.053994,-0.074768,0.212097,-1.075745
0.048444,-0.030991,-0.077962,-0.097656,0.221252,-1.078796
0.048714,-0.018784,-0.030375,-0.097656,0.210571,-1.060486
0.05167,0.007583,-0.023046,-0.082397,0.210571,-1.065063
0.050941,0.003921,-0.034263,-0.093079,0.219727,-1.080322
0.003076,-0.005356,0.028432,-0.064087,0.224304,-1.083374
0.040545,0.000747,0.046411,-0.057983,0.222778,-1.086426
0.027691,-0.043442,-0.008439,-0.050354,0.219727,-1.065063
0.018753,0.018325,0.056584,-0.082397,0.230408,-1.05896
0.007253,0.007827,0.014,-0.07782,0.248718,-1.039124
0.02155,0.01271,-0.014435,-0.088501,0.238037,-1.042175
0.010539,0.004409,-0.013827,-0.115967,0.233459,-1.065063
-0.001276,-0.041001,0.027336,-0.083923,0.241089,-1.049805
0.005175,0.000015,-0.029949,-0.099182,0.247192,-1.060486
0.009487,-0.02855,-0.067484,-0.111389,0.224304,-1.068115
0.006755,-0.009019,0.011739,-0.073242,0.234985,-1.068115
0.009241,-0.047349,-0.01362,-0.091553,0.210571,-1.072693
0.02461,0.01686,0.039728,-0.080872,0.219727,-1.069641
0.022327,-0.030991,0.031144,-0.076294,0.221252,-1.080322
0.026938,-0.057847,0.02839,-0.07782,0.213623,-1.069641
0.044282,-0.013901,0.023147,-0.076294,0.198364,-1.089478
0.060262,-0.020737,0.009908,-0.074768,0.216675,-1.086426
0.020587,-0.005112,0.041562,-0.056458,0.221252,-1.075745
0.055865,-0.031235,-0.026972,-0.067139,0.238037,-1.068115
0.040512,-0.033921,-0.031729,-0.068665,0.241089,-1.05896
0.012694,-0.061997,-0.004029,-0.079346,0.242615,-1.048279
0.058925,-0.012437,0.027191,-0.083923,0.222778,-1.068115
0.022256,-0.010483,-0.048963,-0.091553,0.228882,-1.05896
0.017077,-0.004624,0.057586,-0.109863,0.239563,-1.065063
0.029212,-0.014146,0.041243,-0.105286,0.22583,-1.055908
0.028778,0.01564,-0.045184,-0.085449,0.219727,-1.051331
-0.006337,0.010757,0.025527,-0.114441,0.216675,-1.063538
0.009941,0.010024,0.066111,-0.079346,0.22583,-1.089478
0.025591,-0.021958,-0.061471,-0.07782,0.212097,-1.071167
0.034708,-0.007798,-0.02002,-0.065613,0.227356,-1.080322
0.015984,0.006606,0.078134,-0.097656,0.195312,-1.089478
0.014471,-0.040024,0.043226,-0.07019,0.205994,-1.086426
0.050558,0.033706,0.00604,-0.07782,0.215149,-1.0849
0.047234,-0.0598,0.0319,-0.045776,0.210571,-1.072693
0.05764,0.000503,0.002663,-0.062561,0.233459,-1.060486
0.073207,-0.011948,-0.068878,-0.065613,0.254822,-1.063538
0.073684,-0.013169,-0.039036,-0.090027,0.234985,-1.055908
0.06135,-0.03563,0.009826,-0.10376,0.233459,-1.063538
0.060805,-0.031724,-0.045839,-0.091553,0.222778,-1.060486
0.054381,0.035171,0.000062,-0.099182,0.233459,-1.055908
0.021757,-0.020737,0.042569,-0.106812,0.238037,-1.068115
0.044533,0.006362,0.004523,-0.10376,0.231934,-1.05896
0.027831,-0.024399,-0.071051,-0.083923,0.221252,-1.072693
0.050386,-0.010239,0.008133,-0.09613,0.201416,-1.071167
0.031145,-0.033188,-0.017892,-0.073242,0.215149,-1.075745
0.030198,-0.046128,-0.043759,-0.082397,0.193787,-1.080322
0.054638,0.00563,-0.021408,-0.071716,0.22583,-1.081848
0.028488,0.000503,0.065265,-0.083923,0.213623,-1.092529
0.038041,0.029067,0.024601,-0.062561,0.192261,-1.087952
0.044186,0.001968,-0.008912,-0.057983,0.204468,-1.086426
0.033053,0.012466,0.120519,-0.050354,0.222778,-1.069641
0.032829,-0.015122,0.033967,-0.07782,0.238037,-1.052856
0.041097,-0.015122,-0.031226,-0.076294,0.22583,-1.054382
0.077885,0.026382,-0.026766,-0.088501,0.239563,-1.028442
